Title,Genre,Theme,Mode,Perspective,Source, File Location,Status,Difficulty (out of 5),Game Length (in hours),File Size (in GB),Top 100,Single-Player,Open World,Action RPG,Action-Adventure,Other,Best Lists,IGN,IGDB,OpenCritic,MetaCritic,GameRankings,Avg. Score,Personal Rating,Owned?,MapGenie?,Save Wizard?,Comments,,,
.hack//G.U. Last Recode,"Role-playing (RPG), Adventure","Action, Fantasy, Science Fiction",Single Player,Third Person,N/A,N/A,N/A,2.77,168.78,N/A,,,,,,,0,8.20,7.40,7.60,7.60,7.70,7.70,0,N,N,Y,,,,
#BLUD,"Role-playing (RPG), Hack and Slash/Beat 'em up, Adventure, Indie","Action, Fantasy, Horror, Comedy",Single Player,Bird view/Isometric,N/A,N/A,N/A,3.00,17.90,N/A,,,,,,,0,7.50,7.30,7.20,7.30,N/A,7.33,,N,N,Y,,,,
11-11 Memories Retold,Adventure,"Historical, Warfare",Single Player,,N/A,N/A,Removed,2.26,23.72,14.60,,,,,,,0,6.80,7.40,7.80,7.70,7.90,7.52,,N,N,N,Removed from PS+ after downloading.,,,
13 Sentinels: Aegis Rim,"Simulator, Strategy, Tactical, Adventure","Science Fiction, Drama",Single Player,"Bird view/Isometric, Side View",N/A,N/A,N/A,2.66,68.97,N/A,,,,,,,0,8.00,8.40,8.60,8.50,N/A,8.38,,N,N,Y,,,,
1979 Revolution: Black Friday,"Adventure, Indie","Action, Historical, Drama, Non-fiction, Educational, Warfare",Single Player,Third Person,Digital Download,Drive 4,Unplayed,2.63,12.08,3.66,,,,,,,0,8.00,7.10,7.80,8.00,7.10,7.60,,Y,N,N,,,,
2Dark,"Adventure, Indie","Action, Horror, Survival, Stealth, Mystery",Single Player,Bird view/Isometric,N/A,N/A,N/A,3.53,18.13,N/A,,,,,,,0,5.10,5.90,6.30,5.40,5.44,5.63,,N,N,N,,,,
428: Shibuya Scramble,"Adventure, Visual Novel","Drama, Mystery",Single Player,Text,N/A,N/A,N/A,2.64,67.50,N/A,,,,,,,0,7.80,8.30,8.50,8.50,8.58,8.34,,N,N,N,,,,
5 Star Wrestling: ReGenesis,"Sport, Simulator, Arcade, Indie",Action,Single Player,Third Person,Digital Download,Drive 1,Unplayed,3.00,5.00,1.54,,,,,,,0,N/A,N/A,6.00,5.40,N/A,5.70,0,Y,N,N,,,,
7th Sector,"Shooter, Platform, Puzzle, Adventure, Indie",Action,Single Player,Side View,N/A,N/A,N/A,4.50,15.17,N/A,,,,,,,0,7.00,7.60,6.90,7.60,N/A,7.28,,N,N,N,,,,
8-Bit Adventures 2,"Role-playing (RPG), Adventure, Indie",Fantasy,Single Player,Bird view/Isometric,N/A,N/A,N/A,4.00,36.43,N/A,,,,,,,0,9.00,9.00,8.40,8.70,N/A,8.78,,N,N,N,,,,
9 Monkeys of Shaolin,"Fighting, Role-playing (RPG), Hack and Slash/Beat 'em up, Adventure, Indie, Arcade",Action,"Single Player, Multiplayer, Co-operative",Bird view/Isometric,Digital Download,Drive 2,Unplayed,2.71,11.53,7.19,,,,,,,0,6.70,6.80,7.30,7.10,N/A,6.98,,Y,N,N,,,,
9 Years of Shadows,"Platform, Role-playing (RPG), Adventure, Indie","Action, Fantasy",Single Player,Side View,N/A,N/A,N/A,3.58,16.93,N/A,,,,,,,0,7.90,6.20,7.40,7.40,N/A,7.23,,N,N,N,,,,
99Vidas,"Fighting, Hack and Slash/Beat 'em up, Indie, Arcade","Action, Comedy","Single Player, Multiplayer, Co-operative",Side View,N/A,N/A,N/A,3.84,34.47,N/A,,,,,,,0,6.70,5.90,6.70,6.10,6.15,6.31,,N,N,N,,,,
A Hat In Time,"Platform, Adventure, Indie","Action, Fantasy","Single Player, Multiplayer, Co-operative, Split Screen","First Person, Third Person",Playstation Plus,Drive 2,Unplayed,2.92,51.27,11.75,,,,,,,0,8.00,8.00,7.80,7.90,7.79,7.90,,Y,N,Y,,,,
A Juggler's Tale,"Platform, Puzzle, Adventure, Indie","Action, Fantasy",Single Player,Side View,Digital Download,Drive 2,Unplayed,3.00,5.00,2.62,,,,,,,0,7.60,8.00,7.10,6.90,N/A,7.40,,Y,N,N,,,,
A Little to the Left,"Puzzle, Indie","Comedy, Kids",Single Player,"First Person, Bird view/Isometric, Side View",Playstation Plus,Drive 4,Unplayed,2.00,27.13,2.17,,,,,,,0,7.80,9.00,7.50,7.50,N/A,7.95,0,Y,N,N,,,,
A Monster's Expedition (Through Puzzling Expeditions),"Puzzle, Strategy, Adventure, Indie",Open World,Single Player,Bird view/Isometric,N/A,N/A,N/A,3.83,46.92,N/A,,,,,,,0,7.70,7.80,8.50,9.2,N/A,8.30,,N,N,N,,,,
