IGDB ID,OpenCritic_ID,Title,Genre,Theme,Mode,Perspective,Source,File Location,Status,Difficulty (1–5),Base Length (hrs),Game Length (hrs),File Size (GB),Release Date,OpenCritic,Metacritic,IGDB Critic Score,IGN,GameSpot,Critic Confidence (0-1),IGDB User Score,Curated User Score,Suggested Uaer Score,Critic Composite (0–10),User Composite (0–10),Overall Score (0–10),Confidence Band,Bias Indicator,Volatility Score (0-1 scale),Bias Band,Volatility Band,Wishlist,Owned?,MapGenie?,Save Wizard?,Comments,IGDB Critic Count (helper),RowKey,FetchStatus,LastIGDB,LastOpenCritic
275688,17343,#DRIVE Rally,,,,,,N/A,,,,"0 h,  00 m",,,7.00,7,,,,0.00,,,0.00,0.00,0,0.00,Low,0,0.00,Neutral,Stable,Yes,No,No,,,#NAME?,,OK,,5/30/2026
141114,19224,007 First Light,Adventure,"Action, Stealth",Single player,Third person,,N/A,,3,,"0 h,  00 m",,10/26/2025,-0.10,8.8,,,,0.00,,,0.00,0.00,0,0.00,Low,0,0.00,Neutral,Stable,Yes,No,No,,,#NAME?,4f12a3f7-1fa7-4f84-a52b-406754b53d96,OK,2/13/2026,1/23/2026
404693,8048,1666: Amsterdam,,,,,,N/A,,,,"0 h,  00 m",,10/29/2025,6.80,6.2,,,,0.00,,,0.00,0.00,0,0.00,Low,0,0.00,Neutral,Stable,No,No,No,,,#NAME?,,OK,,6/20/2026
27316,7547,A Plague Tale: Innocence,,,,,,Extended Storage,,,,"0 h,  00 m",33.80,12/30/2026,8.30,7.7,,,,0.00,,,0.00,0.00,0,0.00,Low,0,0.00,Neutral,Stable,N/A,Yes,No,,Significant enhancements for PS5 Pro.,#NAME?,,OK,,2/15/2026
152242,13346,A Plague Tale: Requiem,"Role-playing (RPG), Adventure","Action, Historical, Stealth, Drama, Mystery",Single player,Third person,,Extended Storage,,3,,"0 h,  00 m",51.23,9/17/2025,8.50,8.2,85.50,8,7,0.00,8.40,,0.00,0.00,0,0.00,Low,0,0.00,Neutral,Stable,N/A,Yes,No,,,#NAME?,91264496-d8a5-4c2e-ac74-4e7d174bca95,OK,1/23/2026,1/23/2026
294453,17489,A Quiet Place: The Road Ahead,Adventure,"Action, Horror, Survival",Single player,First person,,Extended Storage,,,,"0 h,  00 m",31.31,,7.00,6.3,70.00,,,0.00,7.00,,0.00,0.00,0,0.00,Low,0,0.00,Neutral,Stable,N/A,Yes,No,,,#NAME?,06733e91-4d31-4142-993d-95fa5905c1e4,OK,2/1/2026,2/1/2026
219126,18961,Abiotic Factor,"Shooter, Role-playing (RPG), Simulator, Adventure, Indie","Action, Science fiction, Survival, Sandbox","Single player, Multiplayer, Co-operative",First person,,SSD,,,,"0 h,  00 m",2.02,,8.80,8.5,92.00,,,0.00,7.10,,0.00,0.00,0,0.00,Low,0,0.00,Neutral,Stable,N/A,Yes,No,,,#NAME?,a4b1855d-89d0-4fad-8766-483f1de7f94c,OK,2/1/2026,2/1/2026
380410,17044,About Fishing,,,,,,N/A,,,,"0 h,  00 m",,,-0.10,5.1,,,,0.00,,,0.00,0.00,0,0.00,Low,0,0.00,Neutral,Stable,No,No,No,,,#NAME?,,OK,,6/20/2026
305550,17234,Acts of Blood,"Fighting, Hack and slash/Beat 'em up, Adventure, Indie",Action,Single player,Third person,,N/A,,,,"0 h,  00 m",,,-0.10,6.4,,,,0.00,,,0.00,0.00,0,0.00,Low,0,0.00,Neutral,Stable,N/A,No,No,,,#NAME?,bc8ac706-c84c-4f64-aa8d-e82afad9eff4,OK,2/13/2026,1/24/2026
358534,20344,Adventures of Elliot: The Millenium Tales,,,,,,N/A,,,,"0 h,  00 m",,,-0.10,7.9,,,,0.00,,,0.00,0.00,0,0.00,Low,0,0.00,Neutral,Stable,Yes,No,No,,,#NAME?,,OK,,4/23/2026
