Title,Game Genre,Theme,Mode,Perspective,Folder,Status,Difficulty (out of 5),Game Length (in hours),File Size (in GB),IGN,IGDB,OpenCritic,MetaCritic,GameRankings,Avg. Score,Personal Ranking,Owned,Source,Mods?
1001 Spikes,"Platform, Adventure, Indie, Arcade",Action,"Single Player, Multiplayer",Side View,N/A,Unplayed,4.62,24.95,0.23,8.00,8.00,8.00,7.80,8.20,8.00,,Y,ROM,N
Adventure Time: Explore the Dungeon Because I DON'T KNOW!,Adventure,"Action, Comedy",Single Player,"Third Person, Bird view/Isometric",Adventure Time,Unplayed,2.46,30.34,2.05,3.50,4.20,3.90,4.00,4.67,4.05,,Y,ROM,N
Adventure Time: Finn and Jake Investigations,"Puzzle, Role-playing (RPG), Adventure","Action, Fantasy, Comedy, Kids",Single Player,Third Person,Adventure Time,Unplayed,2.11,16.78,2.66,6.50,6.00,6.40,6.60,6.42,6.38,,Y,ROM,N
Affordable Space Adventures,"Puzzle, Strategy, Adventure, Indie","Science Fiction, Stealth","Single Player, Co-operative",Side View,N/A,Unplayed,3.65,10.43,2.27,8.20,8.50,7.90,8.10,8.05,8.15,0,Y,ROM,N
Alphadia Genesis,"Role-playing (RPG), Simulator, Strategy, Adventure",Action,Single Player,Third Person,N/A,Unplayed,3.69,38.03,0.27,8.30,7.80,6.40,6.00,6.00,6.90,,Y,ROM,Y
Asdivine Hearts,"Role-playing (RPG), Simulator, Strategy, Adventure, Indie",Fantasy,Single Player,Bird view/Isometric,N/A,Unplayed,3.80,83.27,0.23,6.00,6.00,5.30,5.70,5.80,5.76,,Y,ROM,N
Assassin's Creed III,Adventure,"Action, Fantasy, Science Fiction, Historical, Stealth, Sandbox, Open World","Single Player, Multiplayer",Third Person,Assassin's Creed,Unplayed,2.97,108.72,6.43,8.50,8.10,6.90,8.50,8.30,8.06,,Y,ROM,Y
Assassin's Creed IV: Black Flag,"Platform, Adventure","Action, Fantasy, Science Fiction, Historical, Stealth, Sandbox, Open World","Single Player, Multiplayer, Co-operative",Third Person,Assassin's Creed,Unplayed,3.03,297.88,14.04,8.50,8.50,8.50,8.60,8.70,8.56,,Y,ROM,Y
Axiom Verge,"Platform, Adventure, Indie","Action, Science Fiction",Single Player,Side View,N/A,Unplayed,3.26,25.07,1.40,7.90,8.40,8.50,8.40,8.80,8.40,0,Y,ROM,N
Baseball Simulator 1000,Sport,Action,"Single Player, Co-operative","Third Person, Bird view/Isometric",Sports & Racing,Unplayed,3.11,1.10,0.03,7.60,N/A,N/A,N/A,N/A,7.60,0,Y,ROM,N
